Sl. No.,State/UT,2018 - Online Banking Frauds,2019 - Online Banking Frauds,2020 - Online Banking Frauds,2021 - Online Banking Frauds,2022 - Online Banking Frauds,Total
1,Andhra Pradesh,48,356,409,524,569,1906
2,Arunachal Pradesh,0,0,2,2,0,4
3,Assam,1,25,48,1,8,83
4,Bihar,15,24,105,117,168,429
5,Chhattisgarh,12,4,28,11,29,84
6,Goa,0,0,0,0,4,4
7,Gujarat,44,33,74,58,71,280
8,Haryana,0,51,26,3,8,88
9,Himachal Pradesh,0,0,0,4,8,12
10,Jharkhand,52,0,51,18,88,209
11,Karnataka,0,4,0,0,0,4
12,Kerala,5,6,1,3,21,36
13,Madhya Pradesh,8,6,20,48,99,181
14,Maharashtra,328,552,821,624,909,3234
15,Manipur,0,0,0,0,0,0
16,Meghalaya,0,0,9,0,0,9
17,Mizoram,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0
19,Odisha,158,545,549,687,434,2373
20,Punjab,3,10,5,5,17,40
21,Rajasthan,7,126,49,148,109,439
22,Sikkim,0,0,0,0,0,0
23,Tamil Nadu,0,3,0,54,163,220
24,Telangana,140,35,1405,2180,3223,6983
25,Tripura,0,0,0,0,0,0
26,Uttar Pradesh,132,306,358,329,483,1608
27,Uttarakhand,12,0,0,0,1,13
28,West Bengal,0,0,68,0,0,68
Total State (S),Total State (S),965,2086,4028,4816,6412,18307
29,Andaman and Nicobar Islands,2,0,0,0,0,2
30,Chandigarh,1,0,0,0,0,1
31,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0,0
32,Delhi,0,2,19,0,72,93
33,Jammu and Kashmir,0,5,0,7,7,19
34,Ladakh,NA,NA,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0
Total UT (S),Total UT (S),3,7,19,7,79,115
Total (All India),Total (All India),968,2093,4047,4823,6491,18422
